url	first_seen	portal	title	company	status	location
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Gen-AI-Software-Engineer---Python--DevOps--Frontend--5--Years-_2015216	2026-06-16	workday-api	Gen AI Software Engineer | Python, DevOps, Frontend (5+ Years)	Cisco	added	Bangalore, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Site-Reliability-Engineer---4--7-years--Work-Location---Bangalore_2015553	2026-06-16	workday-api	Site Reliability Engineer- (4- 7 years) Work Location - Bangalore	Cisco	added	Bangalore, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Lead-Site-Reliability-Engineer--Network-Assurance-Data-Platform_1440127	2026-06-16	workday-api	Lead Site Reliability Engineer, Network Assurance Data Platform - Cisco ThousandEyes	Cisco	added	Bangalore, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Kubernetes-Platform-Engineer---AI-Infrastructure---Golang-Python-----8--Years-_2013536-1	2026-06-16	workday-api	Kubernetes Platform Engineer - AI Infrastructure ( Golang/Python) - (8+ Years)	Cisco	added	Bangalore, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/Kubernetes-Platform-Engineer---AI-Infrastructure--8--Years-_2013538-1	2026-06-16	workday-api	Kubernetes Platform Engineer - AI Infrastructure (8+ Years)	Cisco	added	Bangalore, India
https://cisco.wd5.myworkdayjobs.com/Cisco_Careers/job/Bangalore-India/AI-Infrastructure-Engineer---GoLang--Kubernetes--Dockers--Linux---8-12-years_2011045	2026-06-16	workday-api	AI Infrastructure Engineer - GoLang, Kubernetes, Dockers, Linux - 8-12 years	Cisco	added	Bangalore, India
https://autodesk.wd1.myworkdayjobs.com/Ext/job/Bengaluru-IND/Senior-DevSecOps-Engineer--AI-ML-Systems-_26WD98448-1	2026-06-16	workday-api	Senior DevSecOps Engineer (AI/ML Systems)	Autodesk	added	Bengaluru, IND
https://autodesk.wd1.myworkdayjobs.com/Ext/job/Bengaluru-IND/Senior-Enterprise-Systems-Engineer_26WD96724-1	2026-06-16	workday-api	Senior Enterprise Systems Engineer	Autodesk	added	Bengaluru, IND
https://vanguard.wd5.myworkdayjobs.com/vanguard_external/job/Hyderabad-India/Senior-Manager--Platform-Engineering_176975	2026-06-16	workday-api	Senior Manager, Platform Engineering	Vanguard	added	Hyderabad, India
https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Zuora-Revenue-Systems-Engineer_JR335226-1	2026-06-16	workday-api	Zuora Revenue Systems Engineer	Salesforce	added	India - Hyderabad
